product_id,section,product_name,status,provider,score,matched_name,source_page,image_url,reason,checked_at
nonfood-0051,NONFood,LF Тарілка мілка PP преміум чорна d 170 (100 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:55:42+00:00
nonfood-0052,NONFood,LF Тарілка мілка PP біла d 170 (100 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:56:23+00:00
nonfood-0053,NONFood,LF Тарілка мілка PP чорна d 180 (100 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:57:04+00:00
nonfood-0054,NONFood,LF Тарілка мілка PP чорна d 210 (100 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:57:46+00:00
nonfood-0055,NONFood,LF Тарілка PP біла 360 мл d 155 (100 шт),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:58:28+00:00
nonfood-0056,NONFood,LF Тарілка PP біла 500 мл d 155 (100 шт),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:59:08+00:00
nonfood-0057,NONFood,АП Підложка біла 178 × 133 × 20 300 шт,no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:59:49+00:00
nonfood-0058,NONFood,АП Контейнер карт/крафт 113 × 90 × 64(50 шт/пак),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:00:30+00:00
nonfood-0059,NONFood,"КП Контейнер краф.2 з кришкою 1200 мл, 50 шт",no_match,,0.0,,,,source domain is not suitable,2026-07-19T18:01:11+00:00
nonfood-0060,NONFood,АП Пакет фас. без ручок 10 / 4 / 27,no_match,,0.0,,,,source domain is not suitable,2026-07-19T18:01:38+00:00
nonfood-0061,NONFood,АП Пакет ЕКО фас. без ручок 18 / 4 / 35 (550 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:02:06+00:00
nonfood-0062,NONFood,"АП Пакети ""Майка Вишиванка"" 30/50 (100 шт)",no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:02:34+00:00
nonfood-0063,NONFood,АП Пакет Майка БМВ 36 × 55(50 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:03:15+00:00
nonfood-0064,NONFood,"АП Пакети для фасовки""майка""22 х 43 (200 рул)",no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:03:55+00:00
nonfood-0065,NONFood,АП Пакет крафт з ручками 320 × 150 × 380(50 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:04:36+00:00
nonfood-0066,NONFood,ЯО Пакет паперовий багет 500 / 100 / 40 (1000 шт),no_match,,0.0,,,,brand does not match (iao),2026-07-19T18:05:03+00:00
nonfood-0067,NONFood,ЯО Пакет паперовий 380 / 220 / 60 (1000 шт),no_match,,0.0,,,,brand does not match (iao),2026-07-19T18:05:31+00:00
nonfood-0068,NONFood,ЯО Пакет паперовий 70 / 0 / 225 (2000 шт),no_match,,0.0,,,,brand does not match (iao),2026-07-19T18:05:58+00:00
nonfood-0069,NONFood,АП Термо Пакет з фольги 260 × 350 (100 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:06:39+00:00
nonfood-0070,NONFood,АП Термо Пакет з фольги 420 × 350 (100 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:07:20+00:00
